Episode,Total_Reward,Success_Count,Blocking_Rate,Resource_Utilization
777,-10,0,1.00,0.98
778,-10,0,1.00,0.98
779,-10,0,1.00,0.98
780,-10,0,1.00,0.98
781,-10,0,1.00,0.98
782,-10,0,1.00,0.98
783,-10,0,1.00,0.98
784,-10,0,1.00,0.98
785,-10,0,1.00,0.98
786,-10,0,1.00,0.98
787,-10,0,1.00,0.98
788,-10,0,1.00,0.98
789,-10,0,1.00,0.98
790,-10,0,1.00,0.98
791,-10,0,1.00,0.98
792,-10,0,1.00,0.98
793,-10,0,1.00,0.98
794,-10,0,1.00,0.98
795,-10,0,1.00,0.98
796,-10,0,1.00,0.98
797,-10,0,1.00,0.98
798,-10,0,1.00,0.98
799,-10,0,1.00,0.98
800,-10,0,1.00,0.98
801,-10,0,1.00,0.98
802,-10,0,1.00,0.98
803,-10,0,1.00,0.98
804,-10,0,1.00,0.98
805,-10,0,1.00,0.98
806,-10,0,1.00,0.98
807,-10,0,1.00,0.98
808,-10,0,1.00,0.98
809,-10,0,1.00,0.98
810,-10,0,1.00,0.98
811,-10,0,1.00,0.98
812,-10,0,1.00,0.98
813,-10,0,1.00,0.98
814,-10,0,1.00,0.98
815,-10,0,1.00,0.98
816,-10,0,1.00,0.98
817,-10,0,1.00,0.98
818,-10,0,1.00,0.98
819,-10,0,1.00,0.98
820,-10,0,1.00,0.98
821,-10,0,1.00,0.98
822,-10,0,1.00,0.98
823,-10,0,1.00,0.98
824,-10,0,1.00,0.98
825,-10,0,1.00,0.98
826,-10,0,1.00,0.98
827,-10,0,1.00,0.98
828,-10,0,1.00,0.98
829,-10,0,1.00,0.98
830,-10,0,1.00,0.98
831,-10,0,1.00,0.98
832,-10,0,1.00,0.98
833,-10,0,1.00,0.98
834,-10,0,1.00,0.98
835,-10,0,1.00,0.98
836,-10,0,1.00,0.98
837,-10,0,1.00,0.98
838,-10,0,1.00,0.98
839,-10,0,1.00,0.98
840,-10,0,1.00,0.98
841,-10,0,1.00,0.98
842,-10,0,1.00,0.98
843,-10,0,1.00,0.98
844,-10,0,1.00,0.98
845,-10,0,1.00,0.98
846,-10,0,1.00,0.98
847,-10,0,1.00,0.98
848,-10,0,1.00,0.98
849,-10,0,1.00,0.98
850,-10,0,1.00,0.98
851,-10,0,1.00,0.98
852,-10,0,1.00,0.98
853,-10,0,1.00,0.98
854,-10,0,1.00,0.98
855,-10,0,1.00,0.98
856,-10,0,1.00,0.98
857,-10,0,1.00,0.98
858,-10,0,1.00,0.98
859,-10,0,1.00,0.98
860,-10,0,1.00,0.98
861,-10,0,1.00,0.98
862,-10,0,1.00,0.98
863,-10,0,1.00,0.98
864,-10,0,1.00,0.98
865,-10,0,1.00,0.98
866,-10,0,1.00,0.98
867,-10,0,1.00,0.98
868,-10,0,1.00,0.98
869,-10,0,1.00,0.98
870,-10,0,1.00,0.98
871,-10,0,1.00,0.98
872,-10,0,1.00,0.98
873,-10,0,1.00,0.98
874,-10,0,1.00,0.98
875,-10,0,1.00,0.98
876,-10,0,1.00,0.98
877,-10,0,1.00,0.98
878,-10,0,1.00,0.98
879,-10,0,1.00,0.98
880,-10,0,1.00,0.98
881,-10,0,1.00,0.98
882,-10,0,1.00,0.98
883,-10,0,1.00,0.98
884,-10,0,1.00,0.98
885,-10,0,1.00,0.98
886,-10,0,1.00,0.98
887,-10,0,1.00,0.98
888,-10,0,1.00,0.98
889,-10,0,1.00,0.98
890,-10,0,1.00,0.98
891,-10,0,1.00,0.98
892,-10,0,1.00,0.98
893,-10,0,1.00,0.98
894,-10,0,1.00,0.98
895,-10,0,1.00,0.98
896,-10,0,1.00,0.98
897,-10,0,1.00,0.98
898,-10,0,1.00,0.98
899,-10,0,1.00,0.98
900,-10,0,1.00,0.98
901,-10,0,1.00,0.98
902,-10,0,1.00,0.98
903,-10,0,1.00,0.98
904,-10,0,1.00,0.98
905,-10,0,1.00,0.98
906,-10,0,1.00,0.98
907,-10,0,1.00,0.98
908,-10,0,1.00,0.98
909,-10,0,1.00,0.98
910,-10,0,1.00,0.98
911,-10,0,1.00,0.98
912,-10,0,1.00,0.98
913,-10,0,1.00,0.98
914,-10,0,1.00,0.98
915,-10,0,1.00,0.98
916,-10,0,1.00,0.98
917,-10,0,1.00,0.98
918,-10,0,1.00,0.98
919,-10,0,1.00,0.98
920,-10,0,1.00,0.98
